date,Mean Var
2017-06-22,13482.682078959004
2017-06-23,13468.464304098688
2017-06-26,13499.68817239179
2017-06-27,13428.578371620431
2017-06-28,13544.605674558356
2017-06-29,13437.692475436825
2017-06-30,13568.807789173039
2017-07-03,13573.412076806137
2017-07-05,13592.570601727894
2017-07-06,13471.564706756655
2017-07-07,13537.802240732397
2017-07-10,13571.059893943548
2017-07-11,13560.339663831423
2017-07-12,13651.645165967275
2017-07-13,13656.917309076023
2017-07-14,13745.054822489463
2017-07-17,13739.031005806655
2017-07-18,13746.75119918149
2017-07-19,13848.87103742404
2017-07-20,13858.268307640166
2017-07-21,13876.775302198665
2017-07-24,13860.437708606383
2017-07-25,13910.98496466027
2017-07-26,13880.005003858532
2017-07-27,13827.767342356146
2017-07-28,13876.955089271922
2017-07-31,13920.923649491364
2017-08-01,13992.310358385075
2017-08-02,14033.946636567161
2017-08-03,14051.79743219258
2017-08-04,14057.159644077608
2017-08-07,14095.079527668431
2017-08-08,14087.046927491872
2017-08-09,14075.700149863958
2017-08-10,13843.610763426095
2017-08-11,13916.25000125542
2017-08-14,14042.735298863432
2017-08-15,14020.599987343789
2017-08-16,14091.986844820833
2017-08-17,13914.11744255937
2017-08-18,13791.56518993554
2017-08-21,13838.059805141656
2017-08-22,13982.400326680443
2017-08-23,13923.178754692966
2017-08-24,13928.939405957684
2017-08-25,13966.762847366015
2017-08-28,14015.28942273603
2017-08-29,14028.750966645592
2017-08-30,14053.305859047281
2017-08-31,14117.533188406647
2017-09-01,14170.820026179881
2017-09-05,14142.956367574741
2017-09-06,14175.91674155623
2017-09-07,14192.822419560945
2017-09-08,14165.316768376822
2017-09-11,14325.238719403915
2017-09-12,14355.808304704049
2017-09-13,14334.143111001878
2017-09-14,14284.45605225701
2017-09-15,14276.260837161666
2017-09-18,14252.555178477938
2017-09-19,14194.017896757905
2017-09-20,14166.297468219203
2017-09-21,14098.254206285175
2017-09-22,14070.805985645819
2017-09-25,14000.401618859876
2017-09-26,14027.073538861572
2017-09-27,14026.188148752195
2017-09-28,14035.80757312179
2017-09-29,14071.949465474972
2017-10-02,14110.055873407699
2017-10-03,14181.228787953361
2017-10-04,14205.038582443849
2017-10-05,14225.093548663146
2017-10-06,14186.269033230816
2017-10-09,14114.710060688885
2017-10-10,14082.211672780246
2017-10-11,14087.621321252906
2017-10-12,14029.260285700431
2017-10-13,14036.020461746692
2017-10-16,14080.739987982106
2017-10-17,14221.157222392128
2017-10-18,14236.299769655985
2017-10-19,14179.344429483119
2017-10-20,14277.004127531192
2017-10-23,14258.739300932193
2017-10-24,14289.603753231117
2017-10-25,14344.859190472544
2017-10-26,14413.16445055584
2017-10-27,14439.983011120903
2017-10-30,14420.800083807111
2017-10-31,14480.465848402811
2017-11-01,14482.576349095549
2017-11-02,14465.111176138835
2017-11-03,14576.227755459426
2017-11-06,14573.7376160618
2017-11-07,14634.086995296262
2017-11-08,14707.225957455938
2017-11-09,14709.958600456474
2017-11-10,14773.166720686124
2017-11-13,14782.81141100344
2017-11-14,14785.462474861633
2017-11-15,14672.873223473025
2017-11-16,14806.067556265221
2017-11-17,14791.680174740475
2017-11-20,14793.081066638391
2017-11-21,14945.318894293267
2017-11-22,14890.313235291316
2017-11-24,14922.780833406541
2017-11-27,14923.74215181658
2017-11-28,15040.940069520362
2017-11-29,15025.969786499161
2017-11-30,15238.312845859971
2017-12-01,15180.200616618942
2017-12-04,15113.508701457742
2017-12-05,15066.514869091465
2017-12-06,15061.963682647172
2017-12-07,15089.401550743129
2017-12-08,15191.609359173612
2017-12-11,15271.45590852336
2017-12-12,15268.767992262834
2017-12-13,15373.732261939524
2017-12-14,15333.180091639852
2017-12-15,15449.756926831938
2017-12-18,15486.162468176735
2017-12-19,15439.037599184423
2017-12-20,15409.041049138625
2017-12-21,15442.135989364138
2017-12-22,15359.984199575296
2017-12-26,15351.725689773673
2017-12-27,15354.648249816812
2017-12-28,15378.328806947258
2017-12-29,15296.589185149605
2018-01-02,15473.597971363424
2018-01-03,15575.401705788454
2018-01-04,15591.986378756937
2018-01-05,15775.143540522295
2018-01-08,15749.584062153908
2018-01-09,15784.221175949206
2018-01-10,15744.74950661328
2018-01-11,15844.990706027971
2018-01-12,15995.611789371338
2018-01-16,15979.0049999543
2018-01-17,16186.257684950671
2018-01-18,16259.661884943227
2018-01-19,16374.351320335887
2018-01-22,16463.55563930839
2018-01-23,16487.959473676467
2018-01-24,16485.99795207344
2018-01-25,16454.408735863923
2018-01-26,16651.908920952083
2018-01-29,16544.29093301663
2018-01-30,16220.969011528756
2018-01-31,16209.166120015976
2018-02-01,16205.00226312814
2018-02-02,15858.739672798163
2018-02-05,15177.461917657492
2018-02-06,15527.365528064596
2018-02-07,15498.574363450716
2018-02-08,14844.038392777204
2018-02-09,15121.883729418118
2018-02-12,15334.241794013305
2018-02-13,15354.70659708148
2018-02-14,15566.442486403044
2018-02-15,15769.769821086109
2018-02-16,15843.575689119683
2018-02-20,15781.359930234961
2018-02-21,15641.128987099177
2018-02-22,15682.437721461509
2018-02-23,15942.885142996716
2018-02-26,16149.293362558576
2018-02-27,15933.20447093611
2018-02-28,15757.225270694631
2018-03-01,15690.074293614096
2018-03-02,15771.415370961393
2018-03-05,15896.674712273118
2018-03-06,15901.646471539525
2018-03-07,15841.144362848227
2018-03-08,15892.027554955695
2018-03-09,16119.276919086864
2018-03-12,16057.38519607614
2018-03-13,16026.34284723904
2018-03-14,15974.581439048907
2018-03-15,15999.938341487828
2018-03-16,15956.882363446519
2018-03-19,15763.196097881344
2018-03-20,15830.52976396239
2018-03-21,15657.452201441542
2018-03-22,15304.133653596575
